z [m],e,sig’ [Pa],k [m/s]
0.0000,1.52525,1.0000E+03,1.213E-07
0.0010,1.52412,1.0062E+03,1.202E-07
0.0020,1.52299,1.0124E+03,1.192E-07
0.0030,1.52187,1.0187E+03,1.182E-07
0.0040,1.52076,1.0249E+03,1.172E-07
0.0050,1.51965,1.0311E+03,1.162E-07
0.0060,1.51855,1.0373E+03,1.153E-07
0.0070,1.51745,1.0436E+03,1.143E-07
0.0080,1.51637,1.0498E+03,1.134E-07
0.0090,1.51528,1.0561E+03,1.125E-07
0.0100,1.51420,1.0623E+03,1.116E-07
0.0110,1.51313,1.0685E+03,1.107E-07
0.0120,1.51207,1.0748E+03,1.098E-07
0.0130,1.51101,1.0810E+03,1.089E-07
0.0140,1.50995,1.0873E+03,1.080E-07
0.0150,1.50890,1.0935E+03,1.072E-07
0.0160,1.50786,1.0998E+03,1.063E-07
0.0170,1.50682,1.1061E+03,1.055E-07
0.0180,1.50579,1.1123E+03,1.047E-07
0.0190,1.50476,1.1186E+03,1.039E-07
0.0200,1.50374,1.1249E+03,1.031E-07
0.0210,1.50273,1.1311E+03,1.023E-07
0.0220,1.50171,1.1374E+03,1.015E-07
0.0230,1.50071,1.1437E+03,1.007E-07
0.0240,1.49971,1.1500E+03,9.999E-08
0.0250,1.49871,1.1562E+03,9.924E-08
0.0260,1.49772,1.1625E+03,9.850E-08
0.0270,1.49673,1.1688E+03,9.777E-08
0.0280,1.49575,1.1751E+03,9.705E-08
0.0290,1.49478,1.1814E+03,9.633E-08
0.0300,1.49381,1.1877E+03,9.563E-08
0.0310,1.49284,1.1940E+03,9.493E-08
0.0320,1.49188,1.2003E+03,9.425E-08
0.0330,1.49092,1.2066E+03,9.357E-08
0.0340,1.48997,1.2129E+03,9.290E-08
0.0350,1.48902,1.2192E+03,9.224E-08
0.0360,1.48808,1.2255E+03,9.158E-08
0.0370,1.48714,1.2318E+03,9.093E-08
0.0380,1.48620,1.2381E+03,9.029E-08
0.0390,1.48527,1.2444E+03,8.966E-08
0.0400,1.48435,1.2507E+03,8.904E-08
0.0410,1.48343,1.2571E+03,8.842E-08
0.0420,1.48251,1.2634E+03,8.781E-08
0.0430,1.48160,1.2697E+03,8.721E-08
0.0440,1.48069,1.2760E+03,8.661E-08
0.0450,1.47978,1.2823E+03,8.602E-08
0.0460,1.47888,1.2887E+03,8.544E-08
0.0470,1.47799,1.2950E+03,8.486E-08
0.0480,1.47709,1.3013E+03,8.429E-08
0.0490,1.47621,1.3077E+03,8.373E-08
0.0500,1.47532,1.3140E+03,8.317E-08
0.0510,1.47444,1.3204E+03,8.262E-08
0.0520,1.47356,1.3267E+03,8.208E-08
0.0530,1.47269,1.3331E+03,8.154E-08
0.0540,1.47182,1.3394E+03,8.101E-08
0.0550,1.47096,1.3458E+03,8.048E-08
0.0560,1.47010,1.3521E+03,7.996E-08
0.0570,1.46924,1.3585E+03,7.944E-08
0.0580,1.46839,1.3648E+03,7.893E-08
0.0590,1.46754,1.3712E+03,7.843E-08
0.0600,1.46669,1.3775E+03,7.793E-08
0.0610,1.46585,1.3839E+03,7.743E-08
0.0620,1.46501,1.3903E+03,7.694E-08
0.0630,1.46417,1.3966E+03,7.646E-08
0.0640,1.46334,1.4030E+03,7.598E-08
0.0650,1.46251,1.4094E+03,7.551E-08
0.0660,1.46169,1.4158E+03,7.504E-08
0.0670,1.46086,1.4221E+03,7.457E-08
0.0680,1.46005,1.4285E+03,7.411E-08
0.0690,1.45923,1.4349E+03,7.366E-08
0.0700,1.45842,1.4413E+03,7.321E-08
0.0710,1.45761,1.4477E+03,7.276E-08
0.0720,1.45681,1.4541E+03,7.232E-08
0.0730,1.45600,1.4605E+03,7.189E-08
0.0740,1.45521,1.4668E+03,7.145E-08
0.0750,1.45441,1.4732E+03,7.103E-08
0.0760,1.45362,1.4796E+03,7.060E-08
0.0770,1.45283,1.4860E+03,7.018E-08
0.0780,1.45204,1.4924E+03,6.977E-08
0.0790,1.45126,1.4988E+03,6.936E-08
0.0800,1.45048,1.5052E+03,6.895E-08
0.0810,1.44971,1.5116E+03,6.855E-08
0.0820,1.44893,1.5181E+03,6.815E-08
0.0830,1.44816,1.5245E+03,6.775E-08
0.0840,1.44739,1.5309E+03,6.736E-08
0.0850,1.44663,1.5373E+03,6.697E-08
0.0860,1.44587,1.5437E+03,6.659E-08
0.0870,1.44511,1.5501E+03,6.621E-08
0.0880,1.44435,1.5565E+03,6.583E-08
0.0890,1.44360,1.5630E+03,6.546E-08
0.0900,1.44285,1.5694E+03,6.509E-08
0.0910,1.44210,1.5758E+03,6.473E-08
