z [m],e,sig’ [Pa],k [m/s]
0.0000,2.78825,1.0000,1.678E-03
0.0010,2.48246,5.3252,1.668E-04
0.0020,2.36894,9.9083,7.077E-05
0.0030,2.29784,14.6176,4.138E-05
0.0040,2.24595,19.4151,2.797E-05
0.0050,2.20505,24.2815,2.054E-05
0.0060,2.17130,29.2049,1.592E-05
0.0070,2.14255,34.1769,1.281E-05
0.0080,2.11752,39.1916,1.061E-05
0.0090,2.09535,44.2444,8.971E-06
0.0100,2.07545,49.3317,7.720E-06
0.0110,2.05740,54.4504,6.736E-06
0.0120,2.04088,59.5981,5.947E-06
0.0130,2.02566,64.7728,5.301E-06
0.0140,2.01154,69.9725,4.765E-06
0.0150,1.99838,75.1959,4.314E-06
0.0160,1.98605,80.4416,3.931E-06
0.0170,1.97445,85.7083,3.601E-06
0.0180,1.96351,90.9950,3.316E-06
0.0190,1.95315,96.3007,3.066E-06
0.0200,1.94331,101.6246,2.847E-06
0.0210,1.93394,106.9659,2.653E-06
0.0220,1.92500,112.3238,2.479E-06
0.0230,1.91646,117.6978,2.325E-06
0.0240,1.90827,123.0873,2.185E-06
0.0250,1.90042,128.4916,2.059E-06
0.0260,1.89286,133.9103,1.945E-06
0.0270,1.88559,139.3429,1.841E-06
0.0280,1.87858,144.7890,1.746E-06
0.0290,1.87182,150.2481,1.659E-06
0.0300,1.86528,155.7198,1.580E-06
0.0310,1.85895,161.2039,1.506E-06
0.0320,1.85282,166.6999,1.438E-06
0.0330,1.84688,172.2076,1.375E-06
0.0340,1.84111,177.7266,1.316E-06
0.0350,1.83551,183.2567,1.262E-06
0.0360,1.83006,188.7975,1.211E-06
0.0370,1.82476,194.3489,1.163E-06
0.0380,1.81960,199.9106,1.119E-06
0.0390,1.81458,205.4823,1.077E-06
0.0400,1.80968,211.0638,1.038E-06
0.0410,1.80489,216.6550,1.001E-06
0.0420,1.80023,222.2556,9.666E-07
0.0430,1.79567,227.8654,9.339E-07
0.0440,1.79122,233.4843,9.030E-07
0.0450,1.78686,239.1121,8.738E-07
0.0460,1.78260,244.7485,8.462E-07
0.0470,1.77843,250.3935,8.200E-07
0.0480,1.77435,256.0469,7.951E-07
0.0490,1.77035,261.7085,7.714E-07
0.0500,1.76643,267.3782,7.489E-07
0.0510,1.76259,273.0559,7.275E-07
0.0520,1.75882,278.7414,7.071E-07
0.0530,1.75513,284.4346,6.877E-07
0.0540,1.75150,290.1354,6.691E-07
0.0550,1.74794,295.8436,6.513E-07
0.0560,1.74444,301.5592,6.344E-07
0.0570,1.74100,307.2820,6.181E-07
0.0580,1.73762,313.0119,6.025E-07
0.0590,1.73430,318.7488,5.876E-07
0.0600,1.73104,324.4927,5.733E-07
0.0610,1.72782,330.2433,5.596E-07
0.0620,1.72466,336.0007,5.464E-07
0.0630,1.72155,341.7647,5.337E-07
0.0640,1.71849,347.5352,5.215E-07
0.0650,1.71548,353.3122,5.098E-07
0.0660,1.71251,359.0956,4.985E-07
0.0670,1.70959,364.8852,4.876E-07
0.0680,1.70670,370.6811,4.771E-07
0.0690,1.70386,376.4831,4.670E-07
0.0700,1.70107,382.2911,4.572E-07
