"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-01","1994","01","01","","-29.3","","-34.6","","-32.0","","50.0","","0.0","","0.0","","0.2","","0.2","","12","","19","","32",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-02","1994","01","02","","-31.2","","-40.7","","-36.0","","54.0","","0.0","","0.0","","0.0","T","0.0","T","12","","19","","39",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-03","1994","01","03","","-29.7","","-32.8","","-31.3","","49.3","","0.0","","0.0","","0.6","","0.6","","12","","19","","33",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-04","1994","01","04","","-29.2","","-35.9","","-32.6","","50.6","","0.0","","0.0","","0.0","T","0.0","T","12","","10","","32",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-05","1994","01","05","","-24.7","","-37.3","","-31.0","","49.0","","0.0","","0.0","","1.0","","1.0","","12","","","","<31",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-06","1994","01","06","","-24.8","","-27.5","","-26.2","","44.2","","0.0","","0.0","","0.4","","0.4","","12","","31","","37",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-07","1994","01","07","","-26.8","","-31.2","","-29.0","","47.0","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-08","1994","01","08","","-24.0","","-36.3","","-30.2","","48.2","","0.0","","0.0","","0.2","","0.2","","12","","34","","33",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-09","1994","01","09","","-22.6","","-28.0","","-25.3","","43.3","","0.0","","0.0","","1.2","","1.0","","12","","35","","41",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-10","1994","01","10","","-14.3","","-30.8","","-22.6","","40.6","","0.0","","0.0","","0.0","","0.0","","12","","12","","78",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-11","1994","01","11","","-11.0","","-29.3","","-20.2","","38.2","","0.0","","0.0","","2.6","","2.4","","14","","14","","70",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-12","1994","01","12","","-25.3","","-30.9","","-28.1","","46.1","","0.0","","0.0","","0.6","","0.6","","13","","10","","35",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-13","1994","01","13","","-24.3","","-29.2","","-26.8","","44.8","","0.0","","0.0","","1.0","","1.0","","13","","25","","33",""
"-77.75","55.28","KUUJJUARAPIK A","7103536","1994-01-14","1994","01","14","","-29.1","","-34.8","","-32.0","","50.0","","0.0","","0.0","","0.2","","0.2","","13","","19","","32",""
